python : Watching for file changes with StatReloader
At C:\Users\exorc\AppData\Local\Temp\ps-script-0f43323b-e024-48fb-9deb-46606be19377.ps1:92 char:41
+ ... oads\ABC\server; python manage.py runserver 0.0.0.0:8000 2>&1 | Out-F ...
+                      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Watching for fi...th StatReloader:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Performing system checks...

System check identified no issues (0 silenced).
June 14, 2026 - 22:19:05
Django version 4.2.16, using settings 'djangoproject.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CTRL-BREAK.

[14/Jun/2026 23:55:28] "GET /djangoapp/dealer/1/ HTTP/1.1" 200 3699
[14/Jun/2026 23:55:31] "POST /djangoapp/logout HTTP/1.1" 200 92
[14/Jun/2026 23:55:33] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[14/Jun/2026 23:55:33] "GET /static/admin/css/base.css HTTP/1.1" 200 21310
[14/Jun/2026 23:55:33] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[14/Jun/2026 23:55:33] "GET /static/admin/css/login.css HTTP/1.1" 200 958
[14/Jun/2026 23:55:33] "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[14/Jun/2026 23:55:33] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
[14/Jun/2026 23:55:33] "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[14/Jun/2026 23:55:33] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[14/Jun/2026 23:55:35] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Jun/2026 23:55:35] "GET /admin/ HTTP/1.1" 200 7528
[14/Jun/2026 23:55:35] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[14/Jun/2026 23:55:35] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[14/Jun/2026 23:55:35] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[14/Jun/2026 23:56:06] "GET /admin/djangoapp/ HTTP/1.1" 200 6395
[14/Jun/2026 23:56:15] "GET /admin/ HTTP/1.1" 200 7528
[14/Jun/2026 23:56:52] "GET / HTTP/1.1" 200 8531
[14/Jun/2026 23:56:52] "GET /static/style.css HTTP/1.1" 200 8871
[14/Jun/2026 23:56:52] "GET /static/extra.css HTTP/1.1" 200 445
[14/Jun/2026 23:56:52] "GET /static/bootstrap.css HTTP/1.1" 200 756
[14/Jun/2026 23:56:52] "GET /static/script.js HTTP/1.1" 200 1871
Bad Request: /djangoapp/login
[14/Jun/2026 23:56:54] "GET /djangoapp/login HTTP/1.1" 400 33
[14/Jun/2026 23:56:55] "POST /djangoapp/login HTTP/1.1" 200 71
[14/Jun/2026 23:56:55] "GET / HTTP/1.1" 200 8951
[14/Jun/2026 23:56:57] "GET /?state=KS HTTP/1.1" 200 7231
[14/Jun/2026 23:56:58] "GET /djangoapp/dealer/1/ HTTP/1.1" 200 3699
[14/Jun/2026 23:57:00] "GET /djangoapp/dealer/1/ HTTP/1.1" 200 3699
[14/Jun/2026 23:57:02] "POST /djangoapp/logout HTTP/1.1" 200 92
[14/Jun/2026 23:57:05] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[14/Jun/2026 23:57:05] "GET /static/admin/css/base.css HTTP/1.1" 200 21310
[14/Jun/2026 23:57:05] "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[14/Jun/2026 23:57:05] "GET /static/admin/css/login.css HTTP/1.1" 200 958
[14/Jun/2026 23:57:05] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[14/Jun/2026 23:57:05] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
[14/Jun/2026 23:57:05] "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[14/Jun/2026 23:57:05] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[14/Jun/2026 23:57:06] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Jun/2026 23:57:06] "GET /admin/ HTTP/1.1" 200 7528
[14/Jun/2026 23:57:06] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[14/Jun/2026 23:57:06] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[14/Jun/2026 23:57:06] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[14/Jun/2026 23:57:09] "GET /admin/logout/ HTTP/1.1" 302 0
[14/Jun/2026 23:57:09] "GET /admin/ HTTP/1.1" 302 0
[14/Jun/2026 23:57:09] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[14/Jun/2026 23:57:09] "GET /static/admin/css/base.css HTTP/1.1" 200 21310
[14/Jun/2026 23:57:09] "GET /static/admin/css/login.css HTTP/1.1" 200 958
[14/Jun/2026 23:57:09] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
[14/Jun/2026 23:57:09] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[14/Jun/2026 23:57:09] "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[14/Jun/2026 23:57:09] "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[14/Jun/2026 23:57:09] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
